Date;Polling firm;Sample;Fidesz-KDNP;DK;MM;Mi Hazánk;MKKP;TISZA
2024.12.31;Iránytű;6600;39;4;0;6;4;44
2025.02.26;Republikon;1000;36;7;1;8;6;38
2025.01.29;Publicus;3060;37;9;1;5;3;42
2025.01.10;IDEA;1500;36;5;1;7;3;45
2024.12.18;Magyar Társadalomkutató;1000;49;4;1;5;5;34
2024.12.17;Publicus;1000;36;9;1;5;3;42
2024.12.06;IDEA;1500;37;5;1;6;3;43
2024.12.05;Republikon;1000;31;7;4;8;5;37
2024.11.30;Závecz Research;1000;35;6;3;7;4;39
2024.11.26;Medián;1200;36;4;1;6;4;47
2024.11.19;Publicus;1000;38;9;2;5;3;39
2024.11.08;IDEA;1500;38;6;1;7;3;41
2024.11.04;Medián;1000;39;3;1;6;3;46
2024.10.29;Republikon;1000;37;7;5;8;3;36
2024.10.18;Publicus;1000;37;8;2;4;4;39
2024.10.15;21 Kutatóközpont;1000;40;4;2;5;4;42
2024.10.08;Závecz Research;1000;39;7;3;5;4;35
2024.10.07;IDEA;1500;39;7;2;7;4;37
2024.09.10;Medián;1000;43;3;1;3;3;39
2024.09.06;IDEA;1500;39;8;2;7;3;34
2024.08.31;Závecz Research;1000;42;8;2;7;2;33
2024.07.31;IDEA;1500;41;8;2;6;3;34
2024.07.10;Medián;1000;43;9;1;5;2;31
2024.07.08;Republikon;1000;41;7;4;5;6;31
2024.06.27;IDEA;1500;41;8;3;6;3;32
2024.06.09;EP Election;4569620;45;8;1;4;3;33
2024.06.08;21 Kutatóközpont;1000;44;8;0;4;2;32
2024.06.05;Publicus;1001;43;15;1;4;2;25
2024.06.05;Medián;1500;50;9;0;4;2;27
2024.06.02;Závecz Research;1000;45;11;2;3;3;27
2024.05.29;Medián;1000;48;7;0;2;2;29
2024.05.29;IDEA;1500;44;12;0;4;2;26
2024.05.10;Závecz Research;1000;39;17;1;3;2;26
2024.05.04;IDEA;1500;39;15;4;2;4;21
2024.04.30;Publicus;1000;42;24;1;2;0;23
2024.04.29;Medián;1000;45;9;1;6;1;25
2024.04.26;Republikon;1000;35;22;2;6;1;18
2024.04.19;Iránytű;1073;50;10;0;4;0;26
2024.04.11;Závecz Research;1000;34;22;8;1;8;14
2024.04.02;Republikon;1000;34;22;4;7;5;15
