Index;Körzet;Fidesz (%);Tisza (%);1
1;Bács-Kiskun 01;48.0;febr.30;
2;Bács-Kiskun 02;aug.41;ápr.35;
3;Bács-Kiskun 03;márc.50;27.febr;
4;Bács-Kiskun 04;szept.51;27.0;
5;Bács-Kiskun 05;júl.48;24.júl;
6;Bács-Kiskun 06;50.0;26.ápr;
7;Baranya 01;szept.36;jan.33;
8;Baranya 02;júl.39;febr.31;
9;Baranya 03;jún.53;23.0;
10;Baranya 04;jan.55;21.szept;
11;Békés 01;szept.39;jan.34;
12;Békés 02;48.0;27.jún;
13;Békés 03;ápr.49;29.ápr;
14;Békés 04;szept.44;28.febr;
15;Borsod-Abaúj-Zemplén 01;júl.39;máj.33;
16;Borsod-Abaúj-Zemplén 02;ápr.38;aug.33;
17;Borsod-Abaúj-Zemplén 03;ápr.55;22.jan;
18;Borsod-Abaúj-Zemplén 04;jan.51;23.máj;
19;Borsod-Abaúj-Zemplén 05;aug.55;23.szept;
20;Borsod-Abaúj-Zemplén 06;máj.49;27.júl;
21;Borsod-Abaúj-Zemplén 07;máj.49;27.júl;
22;Budapest 01;jún.34;márc.32;
23;Budapest 02;ápr.34;31.máj;
24;Budapest 03;febr.34;febr.33;
25;Budapest 04;33.0;júl.34;
26;Budapest 05;26.ápr;jún.35;
27;Budapest 06;30.jan;34.0;
28;Budapest 07;jan.32;júl.32;
29;Budapest 08;jan.34;30.ápr;
30;Budapest 09;ápr.34;31.máj;
31;Budapest 10;júl.33;jan.32;
32;Budapest 11;febr.32;febr.33;
33;Budapest 12;30.máj;aug.33;
34;Budapest 13;márc.33;jún.31;
35;Budapest 14;júl.36;31.júl;
36;Budapest 15;máj.36;szept.31;
37;Budapest 16;febr.35;31.máj;
38;Csongrád 01;28.márc;márc.39;
39;Csongrád 02;jún.38;31.aug;
40;Csongrád 03;45.0;febr.29;
41;Csongrád 04;aug.41;26.ápr;
42;Fejér 01;júl.42;júl.32;
43;Fejér 02;szept.44;febr.30;
44;Fejér 03;júl.46;febr.29;
45;Fejér 04;jún.39;ápr.31;
46;Fejér 05;júl.56;21.ápr;
47;Győr-Moson-Sopron 01;aug.39;máj.37;
48;Győr-Moson-Sopron 02;máj.46;31.máj;
49;Győr-Moson-Sopron 03;máj.58;23.jún;
50;Győr-Moson-Sopron 04;márc.48;30.jan;
51;Győr-Moson-Sopron 05;jan.47;febr.30;
52;Hajdu-Bihar 01;40.0;jan.38;
53;Hajdu-Bihar 02;szept.41;febr.36;
54;Hajdu-Bihar 03;ápr.51;28.febr;
55;Hajdu-Bihar 04;máj.58;22.máj;
56;Hajdu-Bihar 05;aug.50;26.szept;
57;Hajdu-Bihar 06;ápr.46;29.jún;
58;Heves 01;jún.44;jan.32;
59;Heves 02;febr.47;27.jún;
60;Heves 03;aug.49;26.máj;
61;Jász-Nagykun-Szolnok 01;máj.38;szept.35;
62;Jász-Nagykun-Szolnok 02;jan.48;29.aug;
63;Jász-Nagykun-Szolnok 03;ápr.57;23.aug;
64;Jász-Nagykun-Szolnok 04;jún.45;28.jún;
65;Komárom-Esztergom 01;aug.38;aug.33;
66;Komárom-Esztergom 02;szept.41;márc.33;
67;Komárom-Esztergom 03;47.0;28.febr;
68;Nógrád 01;aug.48;26.jún;
69;Nógrád 02;54.0;22.jún;
70;Pest 01;febr.36;ápr.34;
71;Pest 02;júl.34;ápr.36;
72;Pest 03;márc.40;ápr.33;
73;Pest 04;febr.43;30.júl;
74;Pest 05;jan.36;márc.36;
75;Pest 06;jún.36;márc.36;
76;Pest 07;szept.45;28.febr;
77;Pest 08;márc.39;júl.33;
78;Pest 09;júl.44;29.júl;
79;Pest 10;júl.35;febr.36;
80;Pest 11;ápr.44;30.ápr;
81;Pest 12;jan.50;25.febr;
82;Pest 13;febr.49;26.0;
83;Pest 14;aug.48;28.márc;
84;Somogy 01;jún.43;31.aug;
85;Somogy 02;55.0;23.júl;
86;Somogy 03;ápr.53;25.jan;
87;Somogy 04;jún.48;28.márc;
88;Szabolcs-Szatmár-Bereg 01;aug.36;márc.39;
89;Szabolcs-Szatmár-Bereg 02;49.0;29.aug;
90;Szabolcs-Szatmár-Bereg 03;febr.55;26.febr;
91;Szabolcs-Szatmár-Bereg 04;máj.63;22.0;
92;Szabolcs-Szatmár-Bereg 05;febr.62;21.0;
93;Szabolcs-Szatmár-Bereg 06;márc.58;23.aug;
94;Tolna 01;jan.49;26.aug;
95;Tolna 02;jan.54;22.aug;
96;Tolna 03;máj.52;25.márc;
97;Vas 01;márc.42;febr.32;
98;Vas 02;54.0;25.márc;
99;Vas 03;szept.57;22.ápr;
100;Veszprém 01;41.0;jún.32;
101;Veszprém 02;máj.42;31.júl;
102;Veszprém 03;46.0;28.jan;
103;Veszprém 04;jan.53;24.ápr;
104;Zala 01;jún.50;28.ápr;
105;Zala 02;52.0;27.jan;
106;Zala 03;máj.46;29.márc;
