Körzet,Fidesz_pred,Tisza_pred,Győztes
Bács-Kiskun 01,43.90896921017403,36.729729729729726,Fidesz
Bács-Kiskun 02,38.23739402052655,43.05405405405405,Tisza
Bács-Kiskun 03,46.01294065149487,33.08108108108108,Fidesz
Bács-Kiskun 04,47.47657295850067,32.83783783783784,Fidesz
Bács-Kiskun 05,44.54930834448907,30.04054054054054,Fidesz
Bács-Kiskun 06,45.738509593931276,32.108108108108105,Fidesz
Baranya 01,33.75502008032128,40.25675675675676,Tisza
Baranya 02,36.31637661758144,37.945945945945944,Tisza
Baranya 03,49.031682284694334,27.972972972972972,Fidesz
Baranya 04,50.40383757251227,26.635135135135133,Fidesz
Békés 01,36.49933065595716,41.47297297297297,Tisza
Békés 02,43.90896921017403,33.567567567567565,Fidesz
Békés 03,45.189647478804105,35.75675675675676,Fidesz
Békés 04,41.073181615350286,34.29729729729729,Fidesz
Borsod-Abaúj-Zemplén 01,36.31637661758144,40.74324324324324,Tisza
Borsod-Abaúj-Zemplén 02,35.12717536813922,41.1081081081081,Tisza
Borsod-Abaúj-Zemplén 03,50.678268630075856,26.87837837837838,Fidesz
Borsod-Abaúj-Zemplén 04,46.74475680499777,28.58108108108108,Fidesz
Borsod-Abaúj-Zemplén 05,51.04417670682731,29.067567567567565,Fidesz
Borsod-Abaúj-Zemplén 06,45.28112449799197,33.689189189189186,Fidesz
Borsod-Abaúj-Zemplén 07,45.28112449799197,33.689189189189186,Fidesz
Budapest 01,31.651048639000447,39.283783783783775,Tisza
Budapest 02,31.46809460062472,38.31081081081081,Tisza
Budapest 03,31.285140562248998,40.37837837837838,Tisza
Budapest 04,30.187416331994644,42.20270270270271,Tisza
Budapest 05,24.149933065595715,43.29729729729729,Tisza
Budapest 06,27.53458277554663,41.351351351351354,Tisza
Budapest 07,29.364123159303883,39.770270270270274,Tisza
Budapest 08,31.193663543061135,36.97297297297297,Tisza
Budapest 09,31.46809460062472,38.31081081081081,Tisza
Budapest 10,30.827755466309686,39.04054054054054,Tisza
Budapest 11,29.45560017849175,40.37837837837838,Tisza
Budapest 12,27.90049085229808,41.1081081081081,Tisza
Budapest 13,30.46184738955823,38.432432432432435,Tisza
Budapest 14,33.57206604194556,38.55405405405405,Tisza
Budapest 15,33.389112003569835,38.79729729729729,Tisza
Budapest 16,32.19991075412762,38.31081081081081,Tisza
Csongrád 01,25.887996430165106,47.79729729729729,Tisza
Csongrád 02,35.310129406514946,38.67567567567568,Tisza
Csongrád 03,41.164658634538156,35.51351351351351,Fidesz
Csongrád 04,38.23739402052655,32.108108108108105,Fidesz
Fejér 01,39.06068719321731,39.770270270270274,Tisza
Fejér 02,41.073181615350286,36.729729729729726,Fidesz
Fejér 03,42.71976796073182,35.51351351351351,Fidesz
Fejér 04,36.22489959839358,38.189189189189186,Tisza
Fejér 05,51.86746987951807,26.027027027027025,Fidesz
Győr-Moson-Sopron 01,36.407853636769296,45.608108108108105,Tisza
Győr-Moson-Sopron 02,42.53681392235609,38.31081081081081,Fidesz
Győr-Moson-Sopron 03,53.5140562248996,28.7027027027027,Fidesz
Győr-Moson-Sopron 04,44.18340026773761,36.608108108108105,Fidesz
Győr-Moson-Sopron 05,43.08567603748327,36.729729729729726,Fidesz
Hajdu-Bihar 01,36.59080767514502,46.33783783783783,Tisza
Hajdu-Bihar 02,38.32887103971441,44.02702702702703,Tisza
Hajdu-Bihar 03,47.01918786256135,34.29729729729729,Fidesz
Hajdu-Bihar 04,53.5140562248996,27.364864864864863,Fidesz
Hajdu-Bihar 05,46.47032574743418,32.71621621621621,Fidesz
Hajdu-Bihar 06,42.44533690316823,36.0,Fidesz
Heves 01,40.798750557786704,39.04054054054054,Fidesz
Heves 02,43.17715305667114,33.567567567567565,Fidesz
Heves 03,45.55555555555555,32.229729729729726,Fidesz
Jász-Nagykun-Szolnok 01,35.21865238732708,43.66216216216216,Tisza
Jász-Nagykun-Szolnok 02,44.00044622936189,36.24324324324324,Fidesz
Jász-Nagykun-Szolnok 03,52.5078090138331,28.945945945945947,Fidesz
Jász-Nagykun-Szolnok 04,41.71352074966533,34.78378378378378,Fidesz
Komárom-Esztergom 01,35.49308344489067,41.1081081081081,Tisza
Komárom-Esztergom 02,38.32887103971441,40.49999999999999,Tisza
Komárom-Esztergom 03,42.994199018295404,34.29729729729729,Fidesz
Nógrád 01,44.640785363676926,32.351351351351354,Fidesz
Nógrád 02,49.39759036144578,27.486486486486484,Fidesz
Pest 01,33.114680946006246,41.83783783783783,Tisza
Pest 02,31.74252565818831,44.27027027027027,Tisza
Pest 03,36.865238732708605,40.62162162162162,Tisza
Pest 04,39.51807228915663,37.33783783783783,Fidesz
Pest 05,33.02320392681839,44.14864864864864,Tisza
Pest 06,33.4805890227577,44.14864864864864,Tisza
Pest 07,41.98795180722891,34.29729729729729,Fidesz
Pest 08,35.95046854082998,40.98648648648649,Tisza
Pest 09,40.89022757697457,36.12162162162162,Fidesz
Pest 10,32.65729585006694,44.02702702702703,Tisza
Pest 11,40.61579651941098,36.97297297297297,Fidesz
Pest 12,45.82998661311915,30.648648648648646,Fidesz
Pest 13,45.006693440428386,31.621621621621617,Fidesz
Pest 14,44.640785363676926,34.41891891891892,Fidesz
Somogy 01,39.88398036590808,38.67567567567568,Fidesz
Somogy 02,50.31236055332441,28.824324324324323,Fidesz
Somogy 03,48.84872824631861,30.527027027027028,Fidesz
Somogy 04,44.4578313253012,34.41891891891892,Fidesz
Szabolcs-Szatmár-Bereg 01,33.663543061133424,47.79729729729729,Tisza
Szabolcs-Szatmár-Bereg 02,44.82373940205265,36.24324324324324,Fidesz
Szabolcs-Szatmár-Bereg 03,50.49531459170014,31.864864864864863,Fidesz
Szabolcs-Szatmár-Bereg 04,58.087907184292725,26.756756756756754,Fidesz
Szabolcs-Szatmár-Bereg 05,56.89870593485052,25.54054054054054,Fidesz
Szabolcs-Szatmár-Bereg 06,53.33110218652387,28.945945945945947,Fidesz
Tolna 01,44.915216421240515,32.5945945945946,Fidesz
Tolna 02,49.48906738063365,27.72972972972973,Fidesz
Tolna 03,48.02543507362784,30.77027027027027,Fidesz
Vas 01,38.69477911646586,39.16216216216217,Tisza
Vas 02,49.39759036144578,30.77027027027027,Fidesz
Vas 03,52.96519410977242,27.243243243243242,Fidesz
Veszprém 01,37.50557786702365,39.648648648648646,Tisza
Veszprém 02,38.877733154841586,38.55405405405405,Fidesz
Veszprém 03,42.07942882641678,34.17567567567568,Fidesz
Veszprém 04,48.574297188755025,29.675675675675674,Fidesz
Zala 01,46.28737170905846,34.54054054054053,Fidesz
Zala 02,47.56804997768853,32.95945945945946,Fidesz
Zala 03,42.53681392235609,35.63513513513513,Fidesz
