Index;Körzet;Fidesz (%);Tisza (%)
1;Bács-Kiskun 01;48.0;30.2
2;Bács-Kiskun 02;41.8;35.4
3;Bács-Kiskun 03;50.3;27.2
4;Bács-Kiskun 04;51.9;27.0
5;Bács-Kiskun 05;48.7;24.7
6;Bács-Kiskun 06;50.0;26.4
7;Baranya 01;36.9;33.1
8;Baranya 02;39.7;31.2
9;Baranya 03;53.6;23.0
10;Baranya 04;55.1;21.9
11;Békés 01;39.9;34.1
12;Békés 02;48.0;27.6
13;Békés 03;49.4;29.4
14;Békés 04;44.9;28.2
15;Borsod-Abaúj-Zemplén 01;39.7;33.5
16;Borsod-Abaúj-Zemplén 02;38.4;33.8
17;Borsod-Abaúj-Zemplén 03;55.4;22.1
18;Borsod-Abaúj-Zemplén 04;51.1;23.5
19;Borsod-Abaúj-Zemplén 05;55.8;23.9
20;Borsod-Abaúj-Zemplén 06;49.5;27.7
21;Borsod-Abaúj-Zemplén 07;49.5;27.7
22;Budapest 01;34.6;32.3
23;Budapest 02;34.4;31.5
24;Budapest 03;34.2;33.2
25;Budapest 04;33.0;34.7
26;Budapest 05;26.4;35.6
27;Budapest 06;30.1;34.0
28;Budapest 07;32.1;32.7
29;Budapest 08;34.1;30.4
30;Budapest 09;34.4;31.5
31;Budapest 10;33.7;32.1
32;Budapest 11;32.2;33.2
33;Budapest 12;30.5;33.8
34;Budapest 13;33.3;31.6
35;Budapest 14;36.7;31.7
36;Budapest 15;36.5;31.9
37;Budapest 16;35.2;31.5
38;Csongrád 01;28.3;39.3
39;Csongrád 02;38.6;31.8
40;Csongrád 03;45.0;29.2
41;Csongrád 04;41.8;26.4
42;Fejér 01;42.7;32.7
43;Fejér 02;44.9;30.2
44;Fejér 03;46.7;29.2
45;Fejér 04;39.6;31.4
46;Fejér 05;56.7;21.4
47;Győr-Moson-Sopron 01;39.8;37.5
48;Győr-Moson-Sopron 02;46.5;31.5
49;Győr-Moson-Sopron 03;58.5;23.6
50;Győr-Moson-Sopron 04;48.3;30.1
51;Győr-Moson-Sopron 05;47.1;30.2
52;Hajdu-Bihar 01;40.0;38.1
53;Hajdu-Bihar 02;41.9;36.2
54;Hajdu-Bihar 03;51.4;28.2
55;Hajdu-Bihar 04;58.5;22.5
56;Hajdu-Bihar 05;50.8;26.9
57;Hajdu-Bihar 06;46.4;29.6
58;Heves 01;44.6;32.1
59;Heves 02;47.2;27.6
60;Heves 03;49.8;26.5
61;Jász-Nagykun-Szolnok 01;38.5;35.9
62;Jász-Nagykun-Szolnok 02;48.1;29.8
63;Jász-Nagykun-Szolnok 03;57.4;23.8
64;Jász-Nagykun-Szolnok 04;45.6;28.6
65;Komárom-Esztergom 01;38.8;33.8
66;Komárom-Esztergom 02;41.9;33.3
67;Komárom-Esztergom 03;47.0;28.2
68;Nógrád 01;48.8;26.6
69;Nógrád 02;54.0;22.6
70;Pest 01;36.2;34.4
71;Pest 02;34.7;36.4
72;Pest 03;40.3;33.4
73;Pest 04;43.2;30.7
74;Pest 05;36.1;36.3
75;Pest 06;36.6;36.3
76;Pest 07;45.9;28.2
77;Pest 08;39.3;33.7
78;Pest 09;44.7;29.7
79;Pest 10;35.7;36.2
80;Pest 11;44.4;30.4
81;Pest 12;50.1;25.2
82;Pest 13;49.2;26.0
83;Pest 14;48.8;28.3
84;Somogy 01;43.6;31.8
85;Somogy 02;55.0;23.7
86;Somogy 03;53.4;25.1
87;Somogy 04;48.6;28.3
88;Szabolcs-Szatmár-Bereg 01;36.8;39.3
89;Szabolcs-Szatmár-Bereg 02;49.0;29.8
90;Szabolcs-Szatmár-Bereg 03;55.2;26.2
91;Szabolcs-Szatmár-Bereg 04;63.5;22.0
92;Szabolcs-Szatmár-Bereg 05;62.2;21.0
93;Szabolcs-Szatmár-Bereg 06;58.3;23.8
94;Tolna 01;49.1;26.8
95;Tolna 02;54.1;22.8
96;Tolna 03;52.5;25.3
97;Vas 01;42.3;32.2
98;Vas 02;54.0;25.3
99;Vas 03;57.9;22.4
100;Veszprém 01;41.0;32.6
101;Veszprém 02;42.5;31.7
102;Veszprém 03;46.0;28.1
103;Veszprém 04;53.1;24.4
104;Zala 01;50.6;28.4
105;Zala 02;52.0;27.1
106;Zala 03;46.5;29.3
