Index;Körzet;Népesség;Fidesz (%);Tisza (%);DK-MSZP-Párbeszéd (%);Momentum (%);MKKP (%);Mi Hazánk (%);Független (%)
1;Bács-Kiskun 01;69273;48.0;30.2;6;2;3;8;1
2;Bács-Kiskun 02;72056;41.8;35.4;6;3;4;7;1
3;Bács-Kiskun 03;65551;50.3;27.2;7;2;2;8;1
4;Bács-Kiskun 04;71801;51.9;27.0;5;2;3;8;1
5;Bács-Kiskun 05;68565;48.7;24.7;7;2;3;12;1
6;Bács-Kiskun 06;64946;50.0;26.4;7;3;2;9;1
7;Baranya 01;74767;36.9;33.1;12;5;5;5;1
8;Baranya 02;76968;39.7;31.2;11;4;4;6;1
9;Baranya 03;71095;53.6;23.0;7;2;3;8;1
10;Baranya 04;76157;55.1;21.9;8;2;3;6;1
11;Békés 01;68772;39.9;34.1;8;3;3;8;1
12;Békés 02;69554;48.0;27.6;6;2;3;10;1
13;Békés 03;68076;49.4;29.4;6;2;2;7;1
14;Békés 04;71915;44.9;28.2;8;3;2;9;1
15;Borsod-Abaúj-Zemplén 01;72841;39.7;33.5;10;3;3;7;1
16;Borsod-Abaúj-Zemplén 02;71635;38.4;33.8;10;3;3;7;1
17;Borsod-Abaúj-Zemplén 03;70980;55.4;22.1;7;2;2;8;1
18;Borsod-Abaúj-Zemplén 04;74584;51.1;23.5;9;2;2;8;1
19;Borsod-Abaúj-Zemplén 05;73750;55.8;23.9;6;2;2;7;1
20;Borsod-Abaúj-Zemplén 06;76280;49.5;27.7;7;2;2;7;1
21;Borsod-Abaúj-Zemplén 07;75813;49.5;27.7;6;2;2;9;1
22;Budapest 01;68310;34.6;32.3;9;10;7;4;1
23;Budapest 02;82512;34.4;31.5;14;6;5;5;1
24;Budapest 03;80028;34.2;33.2;8;9;9;3;1
25;Budapest 04;76741;33.0;34.7;11;9;6;3;1
26;Budapest 05;82222;26.4;35.6;16;9;6;3;1
27;Budapest 06;86009;30.1;34.0;14;7;5;5;1
28;Budapest 07;77579;32.1;32.7;11;11;7;4;1
29;Budapest 08;82303;34.1;30.4;16;5;4;5;1
30;Budapest 09;84885;34.4;31.5;14;7;5;5;1
31;Budapest 10;74690;33.7;32.1;10;9;7;4;1
32;Budapest 11;72039;32.2;33.2;15;7;5;4;1
33;Budapest 12;79287;30.5;33.8;15;6;6;5;1
34;Budapest 13;75000;33.3;31.6;11;7;5;5;1
35;Budapest 14;75000;36.7;31.7;11;7;5;5;1
36;Budapest 15;87243;36.5;31.9;12;10;6;4;1
37;Budapest 16;82865;35.2;31.5;11;10;7;4;1
38;Csongrád 01;80923;28.3;39.3;12;5;6;6;1
39;Csongrád 02;86803;38.6;31.8;8;4;5;9;1
40;Csongrád 03;80506;45.0;29.2;6;3;3;11;1
41;Csongrád 04;77656;41.8;26.4;5;2;3;8;1
42;Fejér 01;60215;42.7;32.7;9;4;4;6;1
43;Fejér 02;70260;44.9;30.2;6;3;4;9;1
44;Fejér 03;76656;46.7;29.2;6;3;5;7;1
45;Fejér 04;66274;39.6;31.4;10;3;3;7;1
46;Fejér 05;67423;56.7;21.4;6;2;3;9;1
47;Győr-Moson-Sopron 01;66748;39.8;37.5;7;3;3;5;1
48;Győr-Moson-Sopron 02;73086;46.5;31.5;6;3;3;7;1
49;Győr-Moson-Sopron 03;66768;58.5;23.6;5;2;2;7;1
50;Győr-Moson-Sopron 04;75571;48.3;30.1;6;3;3;7;1
51;Győr-Moson-Sopron 05;77122;47.1;30.2;6;3;3;7;1
52;Hajdu-Bihar 01;66536;40.0;38.1;6;3;3;6;1
53;Hajdu-Bihar 02;72538;41.9;36.2;6;3;3;7;1
54;Hajdu-Bihar 03;78388;51.4;28.2;5;3;2;7;1
55;Hajdu-Bihar 04;68107;58.5;22.5;5;2;2;8;1
56;Hajdu-Bihar 05;69867;50.8;26.9;5;4;2;8;1
57;Hajdu-Bihar 06;69928;46.4;29.6;7;2;2;9;1
58;Heves 01;81463;44.6;32.1;8;3;3;7;1
59;Heves 02;77244;47.2;27.6;8;2;2;7;1
60;Heves 03;79959;49.8;26.5;7;2;2;8;1
61;Jász-Nagykun-Szolnok 01;77836;38.5;35.9;9;2;3;7;1
62;Jász-Nagykun-Szolnok 02;70962;48.1;29.8;6;2;2;6;1
63;Jász-Nagykun-Szolnok 03;75461;57.4;23.8;5;1;2;6;1
64;Jász-Nagykun-Szolnok 04;74132;45.6;28.6;8;2;3;8;1
65;Komárom-Esztergom 01;78896;38.8;33.8;11;3;4;6;1
66;Komárom-Esztergom 02;81892;41.9;33.3;8;3;4;7;1
67;Komárom-Esztergom 03;82371;47.0;28.2;8;2;3;8;1
68;Nógrád 01;75626;48.8;26.6;10;2;2;7;1
69;Nógrád 02;78966;54.0;22.6;6;2;2;10;1
70;Pest 01;76969;36.2;34.4;8;5;5;6;1
71;Pest 02;87510;34.7;36.4;6;7;6;6;1
72;Pest 03;80750;40.3;33.4;6;5;6;6;1
73;Pest 04;80523;43.2;30.7;7;4;4;7;1
74;Pest 05;82048;36.1;36.3;8;5;5;6;1
75;Pest 06;66836;36.6;36.3;7;4;4;7;1
76;Pest 07;69190;45.9;28.2;8;4;5;8;1
77;Pest 08;78964;39.3;33.7;9;4;4;7;1
78;Pest 09;64395;44.7;29.7;6;3;3;9;1
79;Pest 10;84118;35.7;36.2;7;3;4;10;1
80;Pest 11;82127;44.4;30.4;6;3;4;8;1
81;Pest 12;65085;50.1;25.2;6;2;3;8;1
82;Pest 13;75000;49.2;26.0;6;2;3;8;1
83;Pest 14;75000;48.8;28.3;6;2;3;8;1
84;Somogy 01;61576;43.6;31.8;10;2;3;7;1
85;Somogy 02;59583;55.0;23.7;7;1;2;7;1
86;Somogy 03;62449;53.4;25.1;7;2;2;7;1
87;Somogy 04;64588;48.6;28.3;8;2;3;7;1
88;Szabolcs-Szatmár-Bereg 01;74015;36.8;39.3;10;3;3;6;1
89;Szabolcs-Szatmár-Bereg 02;71595;49.0;29.8;7;2;2;7;1
90;Szabolcs-Szatmár-Bereg 03;77868;55.2;26.2;6;1;2;7;1
91;Szabolcs-Szatmár-Bereg 04;73050;63.5;22.0;5;1;1;5;1
92;Szabolcs-Szatmár-Bereg 05;73390;62.2;21.0;5;1;1;7;1
93;Szabolcs-Szatmár-Bereg 06;71951;58.3;23.8;6;1;1;7;1
94;Tolna 01;59706;49.1;26.8;8;2;3;8;1
95;Tolna 02;58927;54.1;22.8;7;2;2;8;1
96;Tolna 03;59147;52.5;25.3;6;2;3;8;1
97;Vas 01;68531;42.3;32.2;10;4;3;5;1
98;Vas 02;68309;54.0;25.3;6;2;3;6;1
99;Vas 03;66449;57.9;22.4;5;2;3;7;1
100;Veszprém 01;70577;41.0;32.6;8;3;4;7;1
101;Veszprém 02;73838;42.5;31.7;8;3;4;7;1
102;Veszprém 03;67710;46.0;28.1;9;3;3;7;1
