Körzet;Fidesz;Tisza;DK-MSZP-Párbeszéd;Momentum;MKKP;Mi Hazánk;Független;Győztes;Különbség
Bács-Kiskun 01;41.62;44.09;3.59;1.62;2.47;5.64;0.97;Tisza;2.47
Bács-Kiskun 02;35.14;50.11;3.49;2.36;3.19;4.78;0.94;Tisza;14.96
Bács-Kiskun 03;44.79;40.77;4.31;1.66;1.69;5.79;0.99;Fidesz;4.01
Bács-Kiskun 04;45.87;40.18;3.05;1.65;2.51;5.75;0.98;Fidesz;5.69
Bács-Kiskun 05;43.99;37.56;4.37;1.69;2.57;8.81;1.01;Fidesz;6.43
Bács-Kiskun 06;44.48;39.54;4.3;2.49;1.69;6.51;0.99;Fidesz;4.94
Baranya 01;31.94;48.24;7.18;4.04;4.11;3.52;0.96;Tisza;16.3
Baranya 02;35.02;46.34;6.71;3.3;3.35;4.3;0.98;Tisza;11.32
Baranya 03;48.95;35.37;4.42;1.71;2.6;5.94;1.02;Fidesz;13.59
Baranya 04;50.92;34.08;5.11;1.73;2.63;4.51;1.03;Fidesz;16.85
Békés 01;34.37;49.45;4.76;2.41;2.45;5.6;0.96;Tisza;15.08
Békés 02;42.64;41.28;3.68;1.66;2.53;7.22;0.99;Fidesz;1.36
Békés 03;43.48;43.57;3.65;1.64;1.67;5.01;0.98;Tisza;0.09
Békés 04;40.44;42.76;4.98;2.52;1.71;6.59;1.0;Tisza;2.32
Borsod-Abaúj-Zemplén 01;34.38;48.85;5.98;2.43;2.47;4.93;0.96;Tisza;14.46
Borsod-Abaúj-Zemplén 02;33.49;49.63;6.03;2.44;2.48;4.96;0.97;Tisza;16.14
Borsod-Abaúj-Zemplén 03;50.91;34.19;4.44;1.72;1.74;5.98;1.02;Fidesz;16.72
Borsod-Abaúj-Zemplén 04;47.2;36.54;5.74;1.73;1.75;6.01;1.03;Fidesz;10.65
Borsod-Abaúj-Zemplén 05;50.38;36.33;3.74;1.69;1.71;5.14;1.01;Fidesz;14.05
Borsod-Abaúj-Zemplén 06;44.38;41.81;4.34;1.67;1.7;5.1;1.0;Fidesz;2.57
Borsod-Abaúj-Zemplén 07;44.01;41.46;3.69;1.66;1.69;6.5;0.99;Fidesz;2.55
Budapest 01;29.95;14.12;5.38;8.08;5.75;2.81;33.91;Független;3.96
Budapest 02;30.54;14.13;8.59;4.98;4.21;3.61;33.95;Független;3.4
Budapest 03;29.45;14.44;4.76;7.24;7.35;2.1;34.65;Független;5.2
Budapest 04;28.28;15.02;6.51;7.2;4.88;2.09;36.01;Független;7.72
Budapest 05;22.95;15.63;9.61;7.31;4.95;2.12;37.44;Független;14.49
Budapest 06;26.53;15.13;8.52;5.76;4.18;3.58;36.29;Független;9.77
Budapest 07;27.66;14.23;6.55;8.85;5.72;2.8;34.17;Független;6.51
Budapest 08;31.01;13.96;10.05;4.25;3.45;3.7;33.59;Független;2.58
Budapest 09;30.29;14.01;8.52;5.76;4.18;3.58;33.67;Független;3.38
Budapest 10;29.54;14.21;6.06;7.37;5.82;2.85;34.14;Független;4.6
Budapest 11;28.22;14.7;9.08;5.73;4.16;2.85;35.27;Független;7.05
Budapest 12;26.7;14.94;9.07;4.9;4.98;3.56;35.84;Független;9.15
Budapest 13;30.12;14.44;6.87;5.91;4.29;3.68;34.69;Független;4.57
Budapest 14;32.16;14.03;6.66;5.73;4.16;3.56;33.71;Független;1.55
Budapest 15;30.96;13.67;7.03;7.92;4.83;2.76;32.83;Független;1.87
Budapest 16;30.3;13.69;6.54;8.04;5.72;2.8;32.91;Független;2.61
Csongrád 01;23.76;55.55;6.96;3.92;4.78;4.1;0.94;Tisza;31.79
Csongrád 02;33.69;46.73;4.82;3.26;4.14;6.39;0.97;Tisza;13.04
Csongrád 03;39.47;43.12;3.64;2.46;2.5;7.84;0.98;Tisza;3.65
Csongrád 04;40.97;43.56;3.39;1.83;2.79;6.37;1.09;Tisza;2.59
Fejér 01;36.34;46.86;5.29;3.18;3.23;4.15;0.95;Tisza;10.51
Fejér 02;39.07;44.24;3.61;2.44;3.3;6.37;0.97;Tisza;5.17
Fejér 03;40.84;42.99;3.62;2.45;4.15;4.98;0.97;Tisza;2.15
Fejér 04;35.41;47.27;6.18;2.5;2.55;5.09;1.0;Tisza;11.86
Fejér 05;51.54;32.75;3.77;1.7;2.59;6.65;1.01;Fidesz;18.79
Győr-Moson-Sopron 01;33.56;53.24;4.08;2.36;2.4;3.43;0.94;Tisza;19.68
Győr-Moson-Sopron 02;40.04;45.67;3.57;2.41;2.45;4.9;0.96;Tisza;5.63
Győr-Moson-Sopron 03;52.11;35.4;3.08;1.66;1.69;5.07;0.99;Fidesz;16.72
Győr-Moson-Sopron 04;41.79;43.85;3.59;2.42;2.46;4.92;0.96;Tisza;2.05
Győr-Moson-Sopron 05;41.12;44.39;3.62;2.45;2.48;4.97;0.97;Tisza;3.27
Hajdu-Bihar 01;33.35;53.49;3.46;2.34;2.37;4.07;0.93;Tisza;20.13
Hajdu-Bihar 02;35.08;51.03;3.47;2.35;2.38;4.76;0.93;Tisza;15.95
