Date;Polling firm;Sample;Fidesz-KDNP;DK;MM;Mi Hazánk;MKKP;TISZA
2025.04.09;Publicus;1000;37;9;1;5;3;41
2025.04.07;21 Kutatóközpont;1000;37;3;0;4;3;51
2025.04.01;Republikon;1000;33;7;4;6;5;40
2025.03.25;Závecz Research;1000;35;7;4;6;2;40
2025.03.12;Nézőpont;1000;45;4;1;9;3;35
2025.03.11;Publicus;1000;39;9;0;5;2;41
2025.03.10;Medián;1000;37;3;0;6;4;46
2024.12.31;Iránytű;6600;39;4;0;6;4;44
2025.02.26;Republikon;1000;36;7;1;8;6;38
2025.01.29;Publicus;3060;37;9;1;5;3;42
2025.01.10;IDEA;1500;36;5;1;7;3;45
2024.12.18;Magyar Társadalomkutató;1000;49;4;1;5;5;34
2024.12.17;Publicus;1000;36;9;1;5;3;42
2024.12.11;Nézőpont;1000;47;5;1;4;3;37
2024.12.06;IDEA;1500;37;5;1;6;3;43
2024.12.05;Republikon;1000;31;7;4;8;5;37
2024.11.27;Real-PR 93;1000;44;5;1;7;3;36
2024.11.30;Závecz Research;1000;35;6;3;7;4;39
2024.11.26;Medián;1200;36;4;1;6;4;47
2024.11.22;Magyar Társadalomkutató;1000;45;2;1;6;6;37
2024.11.19;Századvég;1000;40;5;2;7;9;35
2024.11.19;Publicus;1000;38;9;2;5;3;39
2024.11.13;Nézőpont;1000;46;5;1;8;4;34
2024.11.08;IDEA;1500;38;6;1;7;3;41
2024.11.04;Medián;1000;39;3;1;6;3;46
2024.10.31;Századvég;1000;43;4;2;7;7;34
2024.10.30;Real-PR 93;1000;44;6;1;7;4;35
2024.10.29;Republikon;1000;37;7;5;8;3;36
2024.10.17;Nézőpont;1000;46;5;1;6;3;35
2024.10.18;Publicus;1000;37;8;2;4;4;39
2024.10.15;21 Kutatóközpont;1000;40;4;2;5;4;42
2024.10.08;Závecz Research;1000;39;7;3;5;4;35
2024.10.07;IDEA;1500;39;7;2;7;4;37
2024.09.18;Nézőpont;1000;47;8;0;2;2;33
2024.09.11;Nézőpont;1000;45;6;0;4;2;35
2024.09.10;Medián;1000;43;3;1;3;3;39
2024.09.06;IDEA;1500;39;8;2;7;3;34
2024.08.31;Závecz Research;1000;42;8;2;7;2;33
2024.07.31;IDEA;1500;41;8;2;6;3;34
2024.07.17;Nézőpont;1000;47;8;0;5;2;29
2024.07.10;Medián;1000;43;9;1;5;2;31
2024.07.08;Republikon;1000;41;7;4;5;6;31
2024.06.27;IDEA;1500;41;8;3;6;3;32
2024.06.09;EP Election;4569620;45;8;1;4;3;33
2024.06.08;21 Kutatóközpont;1000;44;8;0;4;2;32
2024.06.05;Publicus;1001;43;15;1;4;2;25
2024.06.05;Medián;1500;50;9;0;4;2;27
2024.06.02;Závecz Research;1000;45;11;2;3;3;27
2024.05.29;Medián;1000;48;7;0;2;2;29
2024.05.29;Real-PR 93;1000;45;10;0;7;3;28
2024.05.29;IDEA;1500;44;12;0;4;2;26
2024.05.28;Századvég;1000;45;10;1;9;3;23
2024.05.24;Alapjogokért Központ;1000;47;8;1;6;3;26
2024.05.22;Nézőpont;1000;47;9;1;7;2;24
2024.05.31;Magyar Társadalomkutató;4000;51;8;2;5;3;25
2024.05.10;Závecz Research;1000;39;17;1;3;2;26
2024.05.04;IDEA;1500;39;15;4;2;4;21
2024.05.02;Nézőpont;1000;44;13;0;7;2;22
2024.04.30;Publicus;1000;42;24;1;2;0;23
2024.04.29;Medián;1000;45;9;1;6;1;25
2024.04.26;Republikon;1000;35;22;2;6;1;18
2024.04.19;Iránytű;1073;50;10;0;4;0;26
2024.04.11;Závecz Research;1000;34;22;8;1;8;14
2024.04.04;Nézőpont;1000;47;13;4;1;6;13
2024.04.02;Republikon;1000;34;22;4;7;5;15
